B.Code,filename,issue,issue_addressed,addressed_by_whom,notes
JO0054,V2.0.21 - JO0054.xlsm,Problem with Dates tab structure,TRUE,Alvaro,The paper is about existing coffee plants and has no sowing dates
JO0054,V2.0.21 - JO0054.xlsm,Problem with Dates tab structure,TRUE,Alvaro,The paper is about existing coffee plants and has no sowing dates
