B.Code,Country,ISO.3166.1.alpha.3,Site.LatD,Site.LonD,value,table,field,issue,issue_addressed,addressed_by_whom,notes
CJ0110,DRC,COG,-2.446474,28.8046,"Kabare, DRC",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,TRUE,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Jabesh,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",""
JO0060,DRC,COG,-2.335599,28.7817743,"INERA Mulungu, DRC",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,TRUE,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Jabesh,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",""
NM0080.1,Zambia,ZMB,-17.81667,31.56667,Murewa Sandy H/Murewa Sandy O/Murewa Clayey H/Murewa Clayey O,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,TRUE,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Jabesh,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",""
NN0423,Uganda,UGA,0.46667,0.46653,"Makerere University ARI, Kabanyolo. 2018 site/Makerere University ARI, Kabanyolo. 2019 site/Makerere University ARI, Kabanyolo. 2018 site..Makerere University ARI, Kabanyolo. 2019 site",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,TRUE,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Jabesh,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",""
