B.Code,N_all.x,N_nobase.x,N_all_m.x,N_nobase_m.x,B.Version.x,table.x,field.x,issue.x,N_all.y,N_nobase.y,N_all_m.y,N_nobase_m.y,B.Version.y,table.y,field.y,issue.y,N_all.x,N_nobase.x,N_all_m.x,N_nobase_m.x,B.Version.x,table.x,field.x,issue.x,N_all.y,N_nobase.y,N_all_m.y,N_nobase_m.y,B.Version.y,table.y,field.y,issue.y,issue_addressed,addressed_by_whom,notes
AC0147,2,2,1,1,V2.0.22,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,2,2,1,1,V2.0.22,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,2,2,1,1,V2.0.22,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,2,2,1,1,V2.0.22,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
DM0006,1,0,,,V2.0.9,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,1,0,,,V2.0.9,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,1,0,,,V2.0.9,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,1,0,,,V2.0.9,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
JO0103,17,17,15,15,V2.0.23,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,17,17,15,15,V2.0.23,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,17,17,15,15,V2.0.23,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,17,17,15,15,V2.0.23,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
NN0549,6,6,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,6,6,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,6,6,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,6,6,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
