B.Code,value,table,field,issue,tabname,issue_addressed,addressed_by_whom,notes
JO0114,Amhara..Oromia..Tigray||Oromia/Tigray,Site.Out,Site.ID,Value in used in aggregated site name not matching.,,FALSE,"",""
JO0116,Luve Experimental Station,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JO0119,Tepi National Spices Research Center,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JO0134,Magaria,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JO0138,"Markos University Research and demonstration site,",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JO0146,CSIR-CRI-Aiyinasi Ellembelle/CSIR-CRI-Ehiamadwen Jomoro,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JO0148,Gemmeiza Agricultural Research Station,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JO0164,"Central Laboratory for Agricultural Climate (CLAC), Agriculture Research Center (ARC), Dokki",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JO0177,Vi Agroforestry Research Farm Kitale,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JO0185,University of Abomey-Calavi Experimental Research Site-2010/University of Abomey-Calavi Experimental Research Site-2011,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JO0203,Chitedze ARS,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JS0260,Alemaya University Hirna Station B,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
JS0278,Alemaya University Hirna Station B,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
