D.ItemxProcess,D.Item.Root.Comp.Proc_Major,B.Code,table,issue,issue_addressed,addressed_by_whom,notes
Finger Millet Straw||Chopping||Effective Microbe(EM) Treatment--Ensilation,Finger Millet Straw Effective Microbe(EM) Treatment Ensiled,EM1041,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Finger Millet Straw||Chopping||Urea Treatment||Ensilation,Finger Millet Straw Ensiled Urea Treatment,EM1041,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Gigantochloa pseudoarundinacea||Chopping,Gigantochloa pseudoarundinacea,JO1090,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Jojoba meal||Enzyme Treatment,Jojoba Enzyme Treated,JO1086,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Linseed Cake||Grinding,Linseed Cake Ground,BO1008,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Maize Bran||Molasses Treatment,Maize Bran Urea Treated,EM1006,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Maize Grain Yellow,Maize Grain Yellow,EM1005/EM1057/EM1101/JO1056,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Maize Grain Yellow||Milling||Grinding,Maize Grain Yellow Ground||Ground,JO1098,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Maize Stover||Chopping||Sprouted,Maize Stover Sprouted,JO1009,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Maize Stover||Chopping||Urea Treatment||Molasses Treatment||4% urea and 10 lit/100kg molasses,Maize Stover Urea Treatment||Urea Treated,JO1040,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Maize Stover||Hammer Milling||Drying,Maize Stover Dried Ground,JO1057,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Moringa Seed Cake||Undecorticated|| Grinding,Moringa Seed Cake Undecorticated|| Ground,JO1014,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Moringa oleifera seed||Cold press,Moringa oleifera seed Cold press,EM1005,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,TRUE,Lolita,doesn’t match whats in the paper
Mucuna pruriens Beans||Decorticated--Milling--Grinding||Alkali Treatment||Direct Boiling||Drying,Mucuna pruriens Beans Alkali Treated Boiled Decorticated Dried Ground,EM1068,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Mucuna pruriens Beans||Grinding--Decorticated||Alkali Treatment||Boiling||Cochinchinensis variety,Mucuna pruriens Beans Alkali Treated Boiled Decorticated Ground,BO1061,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
"Mucuna pruriens Protein Isolate||Grinding--Decorticated||Alkali Treatment||Boiling||Cochinchinensis variety, protein isolate",Mucuna pruriens Protein Alkali Treated Boiled Decorticated Ground,BO1061,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Mucuna pruriens Protein Isolate||Grinding||Alkali Treatment--Acid Treatment||Drying,Mucuna pruriens Protein Acid Treated Alkali Treated Dried Ground,EM1068,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
