B.Code,era_code2,filename,N,code_issue,issue_addressed,addressed_by_whom,notes
NN0109,NN0109.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.2 - NN0109.2.xlsm,2,TRUE,FALSE,"",""
NN0137,NN0137.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.2 - NN0137.1.xlsm,4,TRUE,FALSE,"",""
NN0137,NN0137.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.2 - NN0137.2.xlsm,4,TRUE,FALSE,"",""
NN0137,NN0137.3,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.2 - NN0137.3.xlsm,4,TRUE,FALSE,"",""
NN0137,NN0137.4,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.2 - NN0137.4.xlsm,4,TRUE,FALSE,"",""
NN0191,NN0191.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.2 - NN0191.2.xlsm,1,TRUE,FALSE,"",""
NN0207,NN0207.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - NN0207.1.xlsm,2,TRUE,FALSE,"",""
NN0207,NN0207.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - NN0207.2.xlsm,2,TRUE,FALSE,"",""
NN0244,NN0244.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - NN0244.1.xlsm,2,TRUE,FALSE,"",""
NN0244,NN0244.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - NN0244.2.xlsm,2,TRUE,FALSE,"",""
NN0272.1,NN0272.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - NN0272.1.xlsm,2,FALSE,FALSE,"",""
NN0272.1,NN0272.1.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - NN0272.1.2.xlsm,2,TRUE,FALSE,"",""
