variable,B.Code,issue,issue_addressed,addressed_by_whom
Soil.CEC...10,AC0092,Potential duplicate soil variable recorded,FALSE,""
Soil.SOC...13,CJ0168,Potential duplicate soil variable recorded,FALSE,""
Soil.SOC...8,CJ0168,Potential duplicate soil variable recorded,FALSE,""
