B.Code,filename,issue,issue_addressed,addressed_by_whom
SP0047,V2.0.23 - SP0047.xlsm,Problem with ExpD.Out tab structure,FALSE,""
NN0555,V2.0.24 - NN0555.xlsm,Problem with ExpD.Out tab structure,FALSE,""
NN0412,V2.0.8 - NN0412.xlsm,Problem with ExpD.Out tab structure,FALSE,""
