B.Code,filename,issue,issue_addressed,addressed_by_whom
AC0107,/home/jovyan/common_data/era/data_entry/industrious_elephant_2023/Alvaro/Extracted/V2.0.21 - AC0107.xlsm,"Problem with structure of Soil.Out tab, does not match other excels",TRUE,"Charity"
AC0040,/home/jovyan/common_data/era/data_entry/industrious_elephant_2023/Alvaro/QCed/V2.0.17 - AC0040.xlsm,"Problem with structure of Soil.Out tab, does not match other excels",TRUE,"Charity"
AC0009,/home/jovyan/common_data/era/data_entry/industrious_elephant_2023/Alvaro/QCed/V2.0.8 - AC0009.xlsm,"Problem with structure of Soil.Out tab, does not match other excels",TRUE,"Charity"
CJ-0001,/home/jovyan/common_data/era/data_entry/industrious_elephant_2023/Charity/Extracted/V2.0.13 - CJ0001.xlsm,"Problem with structure of Soil.Out tab, does not match other excels",TRUE,"Charity"
JO0066,/home/jovyan/common_data/era/data_entry/industrious_elephant_2023/Jabesh/QCed/V2.0.21 - JO0066.xlsm,"Problem with structure of Soil.Out tab, does not match other excels",TRUE,"Charity"
