B.Code,value,table,field,issue,tabname,issue_addressed,addressed_by_whom,notes
AC0039,75,Site.Out,Site.Slope.Perc,Extreme values detected in field (outside range: 0-50),,FALSE,"",""
CJ0199,1233/1644/1648,Site.Out,Site.MAT,Extreme values detected in field (outside range: 10-34),,FALSE,"",""
JO0099,42,Site.Out,Site.MAT,Extreme values detected in field (outside range: 10-34),,FALSE,"",""
JO0184,38,Site.Out,Site.MAT,Extreme values detected in field (outside range: 10-34),,FALSE,"",""
NN0559.1,34.3,Site.Out,Site.MAT,Extreme values detected in field (outside range: 10-34),,FALSE,"",""
NN0559.2,34.3,Site.Out,Site.MAT,Extreme values detected in field (outside range: 10-34),,FALSE,"",""
NN0559.3,34.3,Site.Out,Site.MAT,Extreme values detected in field (outside range: 10-34),,FALSE,"",""
NN0559.4,34.3,Site.Out,Site.MAT,Extreme values detected in field (outside range: 10-34),,FALSE,"",""
