B.Code,filename,issue,issue_addressed,addressed_by_whom,notes
JO0068,V2.0.21 - JO0068.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0068,V2.0.21 - JO0068.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0069,V2.0.21 - JO0069.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0069,V2.0.21 - JO0069.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0072,V2.0.21 - JO0072.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0072,V2.0.21 - JO0072.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0075,V2.0.21 - JO0075.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0075,V2.0.21 - JO0075.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0077,V2.0.21 - JO0077.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0077,V2.0.21 - JO0077.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0079,V2.0.21 - JO0079.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0079,V2.0.21 - JO0079.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0081,V2.0.21 - JO0081.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0081,V2.0.21 - JO0081.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0082,V2.0.21 - JO0082.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0082,V2.0.21 - JO0082.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0085,V2.0.21 - JO0085.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
JO0085,V2.0.21 - JO0085.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
JO0086,V2.0.21 - JO0086.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
JO0086,V2.0.21 - JO0086.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
JO0089,V2.0.21 - JO0089.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
JO0089,V2.0.21 - JO0089.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
JO0090,V2.0.21 - JO0090.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
JO0090,V2.0.21 - JO0090.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
JO0091,V2.0.21 - JO0091.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
JO0091,V2.0.21 - JO0091.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NM0017,V2.0.15 - NM0017.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NM0017,V2.0.15 - NM0017.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NM0049,V2.0.21 - NM0049.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NM0049,V2.0.21 - NM0049.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NM0075,V2.0.21 - NM0075.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NM0075,V2.0.21 - NM0075.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0418,V2.0.9 - NN0418.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0418,V2.0.9 - NN0418.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0419,V2.0.9 - NN0419.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0419,V2.0.9 - NN0419.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0425,V2.0.13 - NN0425.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0425,V2.0.13 - NN0425.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0426,V2.0.13 - NN0426.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0426,V2.0.13 - NN0426.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0428,V2.0.10 - NN0428.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0428,V2.0.10 - NN0428.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0429,V2.0.13 - NN0429.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0429,V2.0.13 - NN0429.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0431,V2.0.13 - NN0431.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0431,V2.0.13 - NN0431.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0444,V2.0.19 - NN0444.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0444,V2.0.19 - NN0444.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0446,V2.0.20 - NN0446.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
NN0446,V2.0.20 - NN0446.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
SP0003,V2.0.9 - SP0003.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
SP0048,V2.0.23 - SP0048.xlsm,Problem with Dates tab structure,TRUE,"Alvaro",""
