B.Code,filename,issue,issue_addressed,addressed_by_whom,notes
CJ0077,V2.0.28 - CJ0077.xlsm,Problem with intercropping tab structure (AF.Level.Name duplicated C.Name missing?).,FALSE,"",""
JO0217,V2.0.28 - JO0217.xlsm,Problem with intercropping tab structure (AF.Level.Name duplicated C.Name missing?).,FALSE,"",""
NN427,V2.0.28 - NN427.xlsm,Problem with intercropping tab structure (AF.Level.Name duplicated C.Name missing?).,FALSE,"",""
