value,B.Code,table,field,issue,issue_addressed,addressed_by_whom,notes
Cover Crop/Dolicos lab lab,JS0283,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Cereals/White Oats,NM0020,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Vetch,NM0020,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/red clover,NM0020,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Starchy Staples/Yacon,NM0034,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Vetch ,NM0045,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Brachiaria         ,NM0064,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Legumes/Mucuna jaspeada,NM0065,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Legumes/Mucuna preta,NM0065,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Vetch  ,NM0075,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Cover Crop/Calopo,NM0076,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Cover Crop/Pinto Peanut,NM0076,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Rhode grass,NN0373,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Crotalaria paulina,NN0417,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Tephrosia candinda,NN0417,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Oilseeds and Oils/Ethiopian Mustard ,NN0424,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/palisade grass,NN0432,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Palisade grass,NN0435,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Legumes/White lupin,NN0442,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Cereals/Teosinte,NN0511,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Desmodium intortum,SP0003,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Pearl Millet,SP0033,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
