value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
g/head/day,NN0280.2,Animals.Diet.Comp,DC.Calcium.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
g/head/day,NN0280.2,Animals.Diet.Comp,DC.Phos.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
g/kg  Maize Grain,JS0305,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
g/kg Body Weight,JS0344,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
g/kg DM,NN0081,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
g/kg DMI,AN0027,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
g/kg(Prosopis)/ % (diet),EO0047,Animals.Diet.Comp,DC.CFibre.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
g/kg(Prosopis)/ % (diet),EO0047,Animals.Diet.Comp,DC.CP.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
g/kg(Prosopis)/ % (diet),EO0047,Animals.Diet.Comp,DC.Calcium.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
g/kg(Prosopis)/ % (diet),EO0047,Animals.Diet.Comp,DC.Phos.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
individual,LM0128,Animals.Diet,D.Unit.Time,,,lookup_levels,FALSE,"",""
kJ,NN0356,Animals.Diet.Comp,DC.NE.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kcal,NN0007,Animals.Diet.Comp,DC.NE.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kcal/100 kcal GE,HK0029,Animals.Diet.Comp,DC.DE.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kg,LM0117.3,Animals.Diet.Comp,DC.CP.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kg,NN0356,Animals.Diet.Comp,DC.DM.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kg/1 kg milk produced,EO0041,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
kg/day,NN0280.2,Animals.Diet.Comp,DC.CP.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kg/day,NN0280.2,Animals.Diet.Comp,DC.DM.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kg/day,NN0280.2,Animals.Diet.Comp,DC.NDF.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kg/day,NN0280.2,Animals.Diet.Comp,DC.OM.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kg/ha,JS0421,Animals.Diet.Comp,DC.DM.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
kg/ha,NN0242/NN0244.1,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
litres/20 kg Cactus-Acacia angusitissima silage (CAAS),LM0351,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
litres/20 kg Cactus-Calliandra calothyrsus silage (CCCS),LM0351,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
litres/20 kg Cactus-Leuceana leucocephala silage (CLLS),LM0351,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
litres/20 kgCactus-Leuceana leucocephala silage (CLLS),LM0351,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
mg PEG/kg of Albizia gummifera,NN0345,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
ml/L of water,HK0177,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
quarters,JS0269.2,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
