V.Product,V.Var,V.Var1,N,master_tab,issue,issue_addressed,addressed_by_whom,notes
Maize,TZB-SR,TZB SR,2,vars,More than one description of same variety in master codes,FALSE,"",""
Maize,TZB-SR,TZB-SR,2,vars,More than one description of same variety in master codes,FALSE,"",""
